Cuisine,Dish Name,Ingredients,Procedure
Indigenous Australian,Indigenous Australian Specialty,"Indigenous Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Indigenous Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dutch,Dutch Specialty,"Dutch spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dutch spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Japanese,Salmon Nigiri Sushi,"sushi rice, rice vinegar, sugar, salt, fresh salmon, wasabi, soy sauce","Prepare sushi rice with rice vinegar, sugar, and salt. Slice salmon thinly and mold rice into ovals. Top with salmon and a dab of wasabi; serve with soy sauce."
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkish,Turkish Specialty,"Turkish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Iraqi,Iraqi Specialty,"Iraqi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Iraqi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Australian,Meat Pie,"minced meat, onions, gravy, puff pastry, salt, pepper, herbs","Cook minced meat with onions and herbs in gravy. Fill puff pastry rounds with the mixture, seal and bake until golden."
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mexican,Tacos al Pastor,"pork, pineapple, chili peppers, achiote paste, garlic, onions, cilantro, lime, corn tortillas, salt","Marinate pork in achiote, chili, and spices. Roast with pineapple, then serve on warmed tortillas with onions, cilantro, and lime."
Senegalese,Senegalese Specialty,"Senegalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Senegalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Swedish,Swedish Specialty,"Swedish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Swedish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Iraqi,Iraqi Specialty,"Iraqi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Iraqi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hungarian,Goulash,"beef, onions, paprika, tomatoes, potatoes, garlic, caraway seeds, salt, pepper, oil","Brown beef with onions and garlic, add paprika and tomatoes, then simmer with potatoes until tender."
Cuban,Cuban Specialty,"Cuban spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cuban spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Singaporean,Hainanese Chicken Rice,"chicken, rice, ginger, garlic, pandan leaves, chicken broth, cucumber, chili sauce, salt, oil","Poach chicken with ginger and pandan leaves. Cook rice in chicken broth with garlic, then serve sliced chicken over the rice with cucumber and chili sauce."
British,British Specialty,"British spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in British spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkish,Kebap,"lamb, onions, garlic, yogurt, cumin, paprika, salt, pepper, olive oil, lemon juice","Marinate lamb in yogurt, spices, and lemon juice. Skewer and grill until tender, then serve with rice or flatbread."
Palestinian,Palestinian Specialty,"Palestinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Palestinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Caribbean,Jerk Chicken,"chicken, allspice, thyme, Scotch bonnet peppers, garlic, ginger, brown sugar, lime juice, salt, pepper","Marinate chicken with a blend of spices and lime juice, then grill until charred. Serve with rice and peas."
German,Sauerbraten,"beef roast, vinegar, water, onions, carrots, celery, garlic, bay leaves, cloves, sugar, salt, pepper, oil","Marinate beef in vinegar, water, and spices for several days. Brown and slow-cook the beef in the marinade until tender. Serve with the resulting gravy."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Korean,Bibimbap,"rice, beef, spinach, bean sprouts, carrots, zucchini, shiitake mushrooms, egg, gochujang, sesame oil, garlic, soy sauce","Cook rice and separately sauté vegetables and beef with garlic and soy sauce. Top the rice with veggies and a fried egg, then drizzle with gochujang and sesame oil."
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Swiss,Swiss Specialty,"Swiss spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Swiss spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Irish,Irish Specialty,"Irish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Irish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Australian,Meat Pie,"minced meat, onions, gravy, puff pastry, salt, pepper, herbs","Cook minced meat with onions and herbs in gravy. Fill puff pastry rounds with the mixture, seal and bake until golden."
Thai,Thai Specialty,"Thai spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Thai spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Tabbouleh,"bulgur wheat, parsley, mint, tomatoes, cucumbers, lemon juice, olive oil, salt, pepper","Soak bulgur wheat until soft, then mix with finely chopped parsley, mint, tomatoes, and cucumbers. Season with lemon juice, olive oil, salt, and pepper."
Austrian,Austrian Specialty,"Austrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Austrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hungarian,Goulash,"beef, onions, paprika, tomatoes, potatoes, garlic, caraway seeds, salt, pepper, oil","Brown beef with onions and garlic, add paprika and tomatoes, then simmer with potatoes until tender."
Greek,Greek Specialty,"Greek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Greek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dominican,Dominican Specialty,"Dominican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dominican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Senegalese,Senegalese Specialty,"Senegalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Senegalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Argentinian,Asado,"beef ribs, chorizo, salt, pepper, chimichurri, garlic, olive oil, vinegar",Season meats with salt and pepper and grill slowly over coals. Serve with a tangy chimichurri sauce.
Iraqi,Iraqi Specialty,"Iraqi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Iraqi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Serbian,Serbian Specialty,"Serbian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Serbian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
